postcode;plaats;provincie;gemeente;nummer;latitude;longitude;nummer2
9400;Assen;Drenthe;Assen;0106;52.9967;6.5625;4
9401;Assen;Drenthe;Assen;0106;52.9967;6.5625;4
9402;Assen;Drenthe;Assen;0106;52.9967;6.5625;4
9403;Assen;Drenthe;Assen;0106;52.9967;6.5625;4
9404;Assen;Drenthe;Assen;0106;52.9967;6.5625;4
9405;Assen;Drenthe;Assen;0106;52.9967;6.5625;4
9406;Assen;Drenthe;Assen;0106;52.9967;6.5625;4
9407;Assen;Drenthe;Assen;0106;52.9967;6.5625;4
9408;Assen;Drenthe;Assen;0106;52.9967;6.5625;4
9409;Loon;Drenthe;Assen;0106;53.0133;6.6125;4
9486;Rhee;Drenthe;Assen;0106;53.0325;6.5667;4
9487;Ter Aard;Drenthe;Assen;0106;53.0258;6.5472;4
9492;Ubbena;Drenthe;Assen;0106;53.045;6.5722;4
7740;Coevorden;Drenthe;Coevorden;0109;52.661;6.7405;4
7741;Coevorden;Drenthe;Coevorden;0109;52.661;6.7405;4
7742;Coevorden;Drenthe;Coevorden;0109;52.661;6.7405;4
7750;Dalen;Drenthe;Coevorden;0109;52.6992;6.7556;4
7751;Dalen;Drenthe;Coevorden;0109;52.6992;6.7556;4
7753;Dalerpeel;Drenthe;Coevorden;0109;52.68;6.6597;4
7754;Wachtum;Drenthe;Coevorden;0109;52.7242;6.75;4
7755;Dalerveen;Drenthe;Coevorden;0109;52.6991;6.807;4
7756;Stieltjeskanaal;Drenthe;Coevorden;0109;52.675;6.8292;4
7840;Sleen;Drenthe;Coevorden;0109;52.7717;6.8028;4
7841;Sleen;Drenthe;Coevorden;0109;52.7717;6.8028;4
7842;Diphoorn;Drenthe;Coevorden;0109;52.77;6.8194;4
7843;Erm;Drenthe;Coevorden;0109;52.755;6.8167;4
7845;Holsloot;Drenthe;Coevorden;0109;52.7283;6.8028;4
7846;Noord-Sleen;Drenthe;Coevorden;0109;52.79;6.8056;4
7847;'t Haantje;Drenthe;Coevorden;0109;52.815;6.8264;4
7848;Schoonoord;Drenthe;Coevorden;0109;52.8458;6.7556;4
7849;De Kiel;Drenthe;Coevorden;0109;52.8633;6.7486;4
7851;Zweeloo;Drenthe;Coevorden;0109;52.795;6.7306;4
7852;Wezup;Drenthe;Coevorden;0109;52.8108;6.7194;4
7853;Wezuperbrug;Drenthe;Coevorden;0109;52.8408;6.7194;4
7854;Aalden;Drenthe;Coevorden;0109;52.79;6.7181;4
7855;Meppen;Drenthe;Coevorden;0109;52.7825;6.6958;4
7856;Benneveld;Drenthe;Coevorden;0109;52.7767;6.7458;4
7860;Oosterhesselen;Drenthe;Coevorden;0109;52.7542;6.7222;4
7861;Oosterhesselen;Drenthe;Coevorden;0109;52.7542;6.7222;4
7863;Gees;Drenthe;Coevorden;0109;52.7474;6.6888;4
7864;Zwinderen;Drenthe;Coevorden;0109;52.7267;6.6764;4
7917;Geesbrug;Drenthe;Coevorden;0109;52.7267;6.6333;4
7760;Schoonebeek;Drenthe;Emmen;0114;52.6625;6.8847;4
7761;Schoonebeek;Drenthe;Emmen;0114;52.6625;6.8847;4
7764;Zandpol;Drenthe;Emmen;0114;52.6942;6.8653;4
7765;Weiteveen;Drenthe;Emmen;0114;52.6725;6.9875;4
7766;Nieuw-Schoonebeek;Drenthe;Emmen;0114;52.6483;6.9861;4
7800;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7801;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7802;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7803;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7804;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7805;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7806;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7807;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7808;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7809;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7810;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7811;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7812;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7813;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7814;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7815;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7816;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7817;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7818;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7819;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7820;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7821;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7822;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7823;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7824;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7825;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7826;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7827;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7828;Emmen;Drenthe;Emmen;0114;52.7792;6.9069;4
7830;Nieuw-Weerdinge;Drenthe;Emmen;0114;52.855;6.9889;4
7831;Nieuw-Weerdinge;Drenthe;Emmen;0114;52.855;6.9889;4
7833;Nieuw-Amsterdam;Drenthe;Emmen;0114;52.7117;6.8556;4
7844;Veenoord;Drenthe;Emmen;0114;52.7109;6.8487;4
7880;Emmer-Compascuum;Drenthe;Emmen;0114;52.8117;7.0472;4
7881;Emmer-Compascuum;Drenthe;Emmen;0114;52.8117;7.0472;4
7884;Barger-Compascuum;Drenthe;Emmen;0114;52.755;7.0431;4
7885;Nieuw-Dordrecht;Drenthe;Emmen;0114;52.7483;6.9681;4
7887;Erica;Drenthe;Emmen;0114;52.7142;6.9264;4
