Country;2000;2005;2010;2011;2012;2013;2014
Austria;4622;5031;4903;4772;4783;4756;4653
Belgium;5608;5876;4369;4044;4138;4096;3872
Bulgaria;3391;3051;3531;3631;3516;3388;3321
Cyprus;4704;5550;5791;5571;5383;4591;4438
Czech Rep.;3254;3379;3254;3046;3124;3133;3064
Denmark;4369;4194;4051;3922;3859;3959;3878
Estonia;2498;2840;3487;3321;3348;3182;2957
Finland;7910;8495;9045;8401;8694;8292;8041
France;5178;5202;5793;4990;5569;5859;5036
Germany;3425;3605;3515;3317;3369;3304;3079
Greece;3713;3938;4023;3899;4271;3922;3758
Hungary;2536;2777;2800;2831;2668;2660;2717
Ireland;5184;5269;5295;5020;4896;4730;4723
Italy;2750;2842;2767;2761;2691;2542;2432
Latvia;1288;1786;2340;2162;2185;2181;2243
Lithuania;1310;1654;1948;1990;2002;1951;1999
Luxembourg;4650;4578;3968;4038;4243;3952;3795
Netherlands;3191;3404;3325;3171;3331;3323;3291
Norway;17808;16848;18196;16269;17072;16297;15324
Poland;1566;1822;1993;1940;1934;1935;1897
Portugal;2864;3501;3684;3457;3602;3507;3545
Romania;1057;1269;1578;1631;1695;1673;1674
Slovakia;3271;2780;2525;2594;2713;2813;2724
Slovenia;3871;4072;4061;4014;3941;3957;3883
Spain;3365;4126;4334;4312;4203;4040;3944
Sweden;9643;9626;8708;7853;8261;8025;7752
United Kingdom;4597;4934;4512;4222;4230;4145;3941
Albania;3380;3612;3269;3380;3743;3838;0
Croatia;4043;4436;4128;4017;3935;3690;3544
Iceland;6306;6785;8413;6974;6857;6650;6593
Macedonia;4654;5145;5536;5724;5577;5234;0
Switzerland;5041;5396;5347;5083;5125;5174;4973
Turkey;1604;1880;2212;2303;2330;2281;2339
Kazakhstan;1154;1913;1961;2049;2176;2175;2193
Russia;2670;2036;2368;2366;2373;2492;2496
Ukraine;0;0;2075;2175;2217;2211;2150
Canada;11832;11971;11007;11351;11075;11379;11135
United States;11290;12589;12957;12692;12203;12293;12305
Argentina;2265;2376;3054;3205;3384;3484;3787
Bolivia;1136;1042;1042;1090;1111;1142;0
Brazil;1928;1612;1860;1868;1918;1990;2056
Chile;1576;1971;2105;2128;2243;2298;2333
Colombia;1231;1594;1650;1636;1652;1654;1719
Mexico;1611;1698;1688;1745;1707;1649;1652
Paraguay;3313;2985;2220;2454;2681;2899;0
Peru;1258;1381;1159;1072;1197;1253;0
Uruguay;2325;2025;2577;2516;2571;2588;0
China;401;701;1195;1287;1399;1564;1591
Hong-Kong;4396;4614;4513;4542;4638;4477;4829
India;668;708;855;954;1002;1089;1165
Indonesia;1209;1426;1489;1530;1227;1282;1332
Japan;5721;5903;5990;5639;5530;5434;5275
Nepal;534;393;290;298;303;319;0
Pakistan;2057;2543;2177;2006;1987;1987;2137
Philippines;1126;1131;1154;1123;1158;1125;1125
South Korea;3362;3633;3698;3602;3599;3507;3307
Taiwan;5288;6497;6751;6887;6703;6726;6959
Thailand;1503;1904;2087;2056;2279;2344;2420
Australia;6730;6975;7353;7341;7250;7038;6964
New Zealand;7739;7847;8063;7775;7739;7536;7545
Algeria;1475;2031;1903;2035;2258;2605;2745
Egypt;1895;2328;2904;3078;3119;3041;3056
Morocco;1223;1171;1368;1461;1547;1599;0
Tunisia;1159;1317;1472;1510;1629;1610;0
Cameroon;299;287;451;463;489;533;0
Congo DR;2115;1661;1550;1535;1424;1462;0
Ivory Coast;716;437;801;704;987;1085;0
Ethiopia;298;361;367;390;389;431;0
Gabon;2849;2602;2416;2393;2416;2576;3049
Ghana;656;678;690;680;676;762;744
Kenya;729;842;926;951;1027;1044;0
Niger;913;1047;1191;1008;963;1416;0
Nigeria;402;760;648;704;723;596;589
Senegal;946;1131;1158;1058;1174;1242;0
Chad;809;816;831;879;946;1041;0
South Africa;3750;3972;3704;3603;3405;3336;3254
Swaziland;2406;2692;3032;2874;2846;2685;0
Tanzania;1482;1048;1481;1306;1351;1402;0
Iran;2035;2665;2995;2686;2792;2883;3041
Israel;6253;6632;6721;6868;7281;6471;6481
Jordan;2405;3146;4412;4681;4950;4951;0
Kuwait;30654;59295;44975;45190;44350;40648;37672
Qatar;32993;20425;25358;23954;23923;30502;31834
Saudi Arabia;17376;18002;21801;21203;22592;22775;23805
Syria;3670;4454;5133;4561;3322;2604;0
United Arab Emirates;24887;23438;18673;14324;18560;18669;18656
