gemeente;code
Aa en Hunze;GM1680
Aagtekerke;GM1000
Aalburg;GM0738
Aalsmeer;GM0358
Aalst;GM1001
Aalten;GM0197
Ter Aar;GM0480
Aardenburg;GM0648
Aarlanderveen;GM1002
Aarle-Rixtel;GM0739
Abbekerk;GM0359
Abbenbroek;GM0481
Abcoude;GM0305
Abcoude-Baambrugge;GM1003
Abcoude-Proosdij;GM1004
Abtsregt;GM1301
Achthoven;GM1302
Achtkarspelen;GM0059
Achttienhoven (U.);GM1005
Achttienhoven (ZH.);GM1303
Ackersdijk en Vrouwenregt;GM1304
Adorp;GM0001
Aduard;GM0002
Aengwirden;GM1006
Akersloot;GM0360
Alblasserdam;GM0482
Albrandswaard;GM0613
Albrandswaard (oud);GM0477
Alem, Maren en Kessel;GM1007
Alkemade;GM0483
Alkmaar;GM0361
Almelo;GM0141
Almere;GM0034
Almkerk;GM0740
Alphen;GM1008
Alphen aan den Rijn;GM0484
Alphen en Riel;GM0741
Alphen-Chaam;GM1723
Ambt Delden;GM0142
Ambt Montfort;GM1679
Ambt-Almelo;GM1009
Ambt-Doetinchem;GM1010
Ambt-Hardenberg;GM1011
Ambt-Ommen;GM1012
Ambt-Vollenhove;GM1013
Amby;GM0883
Ameide;GM0485
Ameland;GM0060
Amerongen;GM0306
Amersfoort;GM0307
Ammerstol;GM0486
Ammerzoden;GM0198
Amstelveen;GM0362
Amstenrade;GM0884
Amsterdam;GM0363
Andel;GM0742
Andijk;GM0364
Angerlo;GM0199
Ankeveen;GM1014
Anloo;GM0105
Anna Paulowna;GM0366
Apeldoorn;GM0200
Appeltern;GM0201
Appingedam;GM0003
Arcen en Velden;GM0885
Arkel;GM0487
Arnemuiden;GM0649
Arnhem;GM0202
Asperen;GM0488
Assen;GM0106
Assendelft;GM0367
Asten;GM0743
Avenhorn;GM0368
Avereest;GM0143
Axel;GM0650
Baarderadeel;GM0061
Baardwijk;GM1015
Baarland;GM0651
Baarle-Nassau;GM0744
Baarn;GM0308
Baexem;GM0886
Baflo;GM0004
Bakel en Milheeze;GM0745
Balgoij;GM1016
Bangert;GM1246
Barendrecht;GM0489
Barneveld;GM0203
Barradeel;GM0062
Barsingerhorn;GM0369
Barwoutswaarder;GM1017
Batenburg;GM0204
Bath;GM1018
Bathmen;GM0144
Bedum;GM0005
Beegden;GM0887
Beek (L.);GM0888
Beek (NB.);GM1247
Beek en Donk;GM0746
Beemster;GM0370
Beers;GM0747
Beerta;GM0006
Beesd;GM0205
Beesel;GM0889
Beets;GM0371
Beilen;GM0107
Belfeld;GM0890
Bellingwedde;GM0007
Bellingwolde;GM1019
Bemelen;GM0891
Bemmel;GM0206
Bennebroek;GM0372
Benschop;GM0309
Benthorn;GM1305
Benthuizen;GM0490
Berg en Dal;GM1945
Berg en Terblijt;GM0892
Bergambacht;GM0491
Bergeijk;GM1724
Bergen (L.);GM0893
Bergen (NH.);GM0373
Bergen op Zoom;GM0748
Bergeyk;GM0749
Bergh;GM0207
Bergharen;GM0208
Berghem;GM0750
Bergschenhoek;GM0492
Berkel en Rodenrijs;GM0493
Berkel-Enschot;GM0751
Berkelland;GM1859
Berkenrode;GM1306
Berkenwoude;GM0494
Berkhout;GM0374
Berlicum;GM0752
Bernheze;GM1721
Bernisse;GM0568
Besoijen;GM1020
Best;GM0753
Beugen en Rijkevoort;GM1021
Beuningen;GM0209
Beusichem;GM0210
Beverwijk;GM0375
Biert;GM1307
Bierum;GM0008
Biervliet;GM0652
Biesland;GM1308
Biggekerke;GM1022
Bijlmermeer;GM1309
het Bildt;GM0063
De Bilt;GM0310
Bingelrade;GM0894
Binnenmaas;GM0585
Bladel;GM1728
Bladel en Netersel;GM0754
Blankenham;GM0145
Blaricum;GM0376
Bleiswijk;GM0495
Bleskensgraaf;GM1262
