postcode;provincie;gemeente;lat;long
9400;Assen;Drenthe;Assen;529.967;65.625
9401;Assen;Drenthe;Assen;529.967;65.625
9402;Assen;Drenthe;Assen;529.967;65.625
9403;Assen;Drenthe;Assen;529.967;65.625
9404;Assen;Drenthe;Assen;529.967;65.625
9405;Assen;Drenthe;Assen;529.967;65.625
9406;Assen;Drenthe;Assen;529.967;65.625
9407;Assen;Drenthe;Assen;529.967;65.625
9408;Assen;Drenthe;Assen;529.967;65.625
9409;Loon;Drenthe;Assen;530.133;66.125
9486;Rhee;Drenthe;Assen;530.325;65.667
9487;Ter Aard;Drenthe;Assen;530.258;65.472
9492;Ubbena;Drenthe;Assen;53.045;65.722
7740;Coevorden;Drenthe;Coevorden;52.661;67.405
7741;Coevorden;Drenthe;Coevorden;52.661;67.405
7742;Coevorden;Drenthe;Coevorden;52.661;67.405
7750;Dalen;Drenthe;Coevorden;526.992;67.556
7751;Dalen;Drenthe;Coevorden;526.992;67.556
7753;Dalerpeel;Drenthe;Coevorden;52.68;66.597
7754;Wachtum;Drenthe;Coevorden;527.242;6.75
7755;Dalerveen;Drenthe;Coevorden;526.991;6.807
7756;Stieltjeskanaal;Drenthe;Coevorden;52.675;68.292
7840;Sleen;Drenthe;Coevorden;527.717;68.028
7841;Sleen;Drenthe;Coevorden;527.717;68.028
7842;Diphoorn;Drenthe;Coevorden;52.77;68.194
7843;Erm;Drenthe;Coevorden;52.755;68.167
7845;Holsloot;Drenthe;Coevorden;527.283;68.028
7846;Noord-Sleen;Drenthe;Coevorden;52.79;68.056
7847;'t Haantje;Drenthe;Coevorden;52.815;68.264
7848;Schoonoord;Drenthe;Coevorden;528.458;67.556
7849;De Kiel;Drenthe;Coevorden;528.633;67.486
7851;Zweeloo;Drenthe;Coevorden;52.795;67.306
7852;Wezup;Drenthe;Coevorden;528.108;67.194
7853;Wezuperbrug;Drenthe;Coevorden;528.408;67.194
7854;Aalden;Drenthe;Coevorden;52.79;67.181
7855;Meppen;Drenthe;Coevorden;527.825;66.958
7856;Benneveld;Drenthe;Coevorden;527.767;67.458
7860;Oosterhesselen;Drenthe;Coevorden;527.542;67.222
7861;Oosterhesselen;Drenthe;Coevorden;527.542;67.222
7863;Gees;Drenthe;Coevorden;527.474;66.888
7864;Zwinderen;Drenthe;Coevorden;527.267;66.764
7917;Geesbrug;Drenthe;Coevorden;527.267;66.333
7760;Schoonebeek;Drenthe;Emmen;526.625;68.847
7761;Schoonebeek;Drenthe;Emmen;526.625;68.847
7764;Zandpol;Drenthe;Emmen;526.942;68.653
7765;Weiteveen;Drenthe;Emmen;526.725;69.875
7766;Nieuw-Schoonebeek;Drenthe;Emmen;526.483;69.861
7800;Emmen;Drenthe;Emmen;527.792;69.069
7801;Emmen;Drenthe;Emmen;527.792;69.069
7802;Emmen;Drenthe;Emmen;527.792;69.069
7803;Emmen;Drenthe;Emmen;527.792;69.069
7804;Emmen;Drenthe;Emmen;527.792;69.069
7805;Emmen;Drenthe;Emmen;527.792;69.069
7806;Emmen;Drenthe;Emmen;527.792;69.069
7807;Emmen;Drenthe;Emmen;527.792;69.069
7808;Emmen;Drenthe;Emmen;527.792;69.069
7809;Emmen;Drenthe;Emmen;527.792;69.069
7810;Emmen;Drenthe;Emmen;527.792;69.069
7811;Emmen;Drenthe;Emmen;527.792;69.069
7812;Emmen;Drenthe;Emmen;527.792;69.069
7813;Emmen;Drenthe;Emmen;527.792;69.069
7814;Emmen;Drenthe;Emmen;527.792;69.069
7815;Emmen;Drenthe;Emmen;527.792;69.069
7816;Emmen;Drenthe;Emmen;527.792;69.069
7817;Emmen;Drenthe;Emmen;527.792;69.069
7818;Emmen;Drenthe;Emmen;527.792;69.069
7819;Emmen;Drenthe;Emmen;527.792;69.069
7820;Emmen;Drenthe;Emmen;527.792;69.069
7821;Emmen;Drenthe;Emmen;527.792;69.069
7822;Emmen;Drenthe;Emmen;527.792;69.069
7823;Emmen;Drenthe;Emmen;527.792;69.069
7824;Emmen;Drenthe;Emmen;527.792;69.069
7825;Emmen;Drenthe;Emmen;527.792;69.069
7826;Emmen;Drenthe;Emmen;527.792;69.069
7827;Emmen;Drenthe;Emmen;527.792;69.069
7828;Emmen;Drenthe;Emmen;527.792;69.069
7830;Nieuw-Weerdinge;Drenthe;Emmen;52.855;69.889
7831;Nieuw-Weerdinge;Drenthe;Emmen;52.855;69.889
7833;Nieuw-Amsterdam;Drenthe;Emmen;527.117;68.556
7844;Veenoord;Drenthe;Emmen;527.109;68.487
7880;Emmer-Compascuum;Drenthe;Emmen;528.117;70.472
7881;Emmer-Compascuum;Drenthe;Emmen;528.117;70.472
7884;Barger-Compascuum;Drenthe;Emmen;52.755;70.431
7885;Nieuw-Dordrecht;Drenthe;Emmen;527.483;69.681
7887;Erica;Drenthe;Emmen;527.142;69.264
7889;Klazienaveen-Noord;Drenthe;Emmen;527.717;70.028
7890;Klazienaveen;Drenthe;Emmen;527.242;69.903
7891;Klazienaveen;Drenthe;Emmen;527.242;69.903
7892;Klazienaveen;Drenthe;Emmen;527.242;69.903
7894;Zwartemeer;Drenthe;Emmen;527.192;70.417
7895;Roswinkel;Drenthe;Emmen;528.375;70.389
7900;Hoogeveen;Drenthe;Hoogeveen;527.225;64.764
7901;Hoogeveen;Drenthe;Hoogeveen;527.225;64.764
7902;Hoogeveen;Drenthe;Hoogeveen;527.225;64.764
7903;Hoogeveen;Drenthe;Hoogeveen;527.225;64.764
7904;Hoogeveen;Drenthe;Hoogeveen;527.225;64.764
7905;Hoogeveen;Drenthe;Hoogeveen;527.225;64.764
7906;Hoogeveen;Drenthe;Hoogeveen;527.225;64.764
7907;Hoogeveen;Drenthe;Hoogeveen;527.225;64.764
7908;Hoogeveen;Drenthe;Hoogeveen;527.225;64.764
7909;Hoogeveen;Drenthe;Hoogeveen;527.225;64.764
7911;Nieuweroord;Drenthe;Hoogeveen;527.267;65.625
7912;Nieuweroord;Drenthe;Hoogeveen;527.267;65.625
7913;Hollandscheveld;Drenthe;Hoogeveen;527.058;65.389
