gemeente;periode;gas;stroom
GM1680;2010;2700;3700
GM1680;2012;2300;3650
GM1680;2014;1800;3450
GM0738;2010;2450;4200
GM0738;2012;1950;3950
GM0738;2014;1550;3750
GM0358;2010;2000;3700
GM0358;2012;1650;3650
GM0358;2014;1350;3450
GM0197;2010;2150;3500
GM0197;2012;1750;3450
GM0197;2014;1350;3250
GM0305;2010;2500;3950
GM0305;2012;0;0
GM0305;2014;0;0
GM0059;2010;2350;3150
GM0059;2012;1950;3150
GM0059;2014;1500;2900
GM0482;2010;1750;3200
GM0482;2012;1350;3100
GM0482;2014;1100;3000
GM0613;2010;1850;3650
GM0613;2012;1450;3450
GM0613;2014;1150;3300
GM0361;2010;1650;3000
GM0361;2012;1350;2850
GM0361;2014;1100;2700
GM0141;2010;2050;3350
GM0141;2012;1750;3250
GM0141;2014;1200;3100
GM0034;2010;650;3600
GM0034;2012;500;3500
GM0034;2014;400;3350
GM0484;2010;1650;3300
GM0484;2012;1350;3250
GM0484;2014;1150;3100
GM1723;2010;2650;4200
GM1723;2012;2200;4150
GM1723;2014;1750;3900
GM0060;2010;2450;3400
GM0060;2012;2150;3550
GM0060;2014;1650;3250
GM0307;2010;1650;3200
GM0307;2012;1350;3100
GM0307;2014;1050;2900
GM0362;2010;1800;3100
GM0362;2012;1500;3100
GM0362;2014;1150;3000
GM0363;2010;1300;2350
GM0363;2012;1050;2350
GM0363;2014;850;2250
GM0364;2010;2150;3750
GM0364;2012;0;0
GM0364;2014;0;0
GM0366;2010;2100;3800
GM0366;2012;0;0
GM0366;2014;0;0
GM0200;2010;2000;3350
GM0200;2012;1650;3250
GM0200;2014;1250;3150
GM0003;2010;2050;3000
GM0003;2012;1750;2950
GM0003;2014;1350;2700
GM0202;2010;1600;2850
GM0202;2012;1300;2850
GM0202;2014;1050;2700
GM0106;2010;1950;3150
GM0106;2012;1650;3100
GM0106;2014;1300;2900
GM0743;2010;2250;4050
GM0743;2012;1850;4050
GM0743;2014;1450;3800
GM0744;2010;2600;4000
GM0744;2012;2050;3850
GM0744;2014;1600;3800
GM0308;2010;2400;3450
GM0308;2012;1900;3300
GM0308;2014;1450;3050
GM0489;2010;1600;3650
GM0489;2012;1350;3600
GM0489;2014;1050;3450
GM0203;2010;2300;3850
GM0203;2012;1950;3850
GM0203;2014;1500;3600
GM0005;2010;2300;3300
GM0005;2012;1950;3200
GM0005;2014;1550;3000
GM0888;2010;2400;3750
GM0888;2012;1900;3600
GM0888;2014;1450;3350
GM0370;2010;2400;3800
GM0370;2012;2000;3700
GM0370;2014;1600;3450
GM0889;2010;2100;3850
GM0889;2012;1700;3700
GM0889;2014;1350;3500
GM0007;2010;2700;3650
GM0007;2012;2300;3600
GM0007;2014;1800;3400
GM0491;2010;2100;3650
GM0491;2012;1700;3450
GM0491;2014;1350;3250
GM1724;2010;2450;4100
GM1724;2012;2100;4050
GM1724;2014;1600;3850
GM0893;2010;2400;4150
GM0893;2012;1900;3950
GM0893;2014;1500;3700
GM0373;2010;2400;3450
GM0373;2012;2000;3400
GM0373;2014;1600;3200
GM0748;2010;1800;3300
GM0748;2012;1500;3350
GM0748;2014;1150;3150
GM1859;2010;2300;3650
GM1859;2012;1850;3600
GM1859;2014;1450;3350
GM1721;2010;2300;4150
GM1721;2012;1900;4100
GM1721;2014;1500;3900
GM0568;2010;2050;3900
GM0568;2012;1650;3750
GM0568;2014;1350;3600
GM0753;2010;2050;4000
GM0753;2012;1650;3850
