Energiebedrijf;Score;Samenstelling;Soort
Nuon;14%;overig;grijs
Robin Energie B.V.;13.4%;overig;grijs
Gazprom Marketing &trading Retail Ltd.;13%;overig;grijs
Qwint;9%;overig;grijs
DELTA;5%;overig;grijs
SEPA Green Energy BV;3%;overig;grijs
DGB Energie;2.94%;overig;grijs
Anode;2.9%;overig;grijs
energiedirect.nl;2.4%;overig;grijs
Dong Energy;1.9%;overig;grijs
Essent;1.2%;overig;grijs
Electrabel;1.1%;overig;grijs
E.ON;0.9%;overig;grijs
Eneco;0.6%;overig;grijs
Atoomstroom;0%;overig;grijs
BudgetEnergie;0%;overig;grijs
Cošperatieve Duurzame Energie Unie U.A. (DE Unie);0%;overig;grijs
Cošperatieve vereniging NLD energie U.A.;0%;overig;grijs
De Ned. Energie Maatschappij;0%;overig;grijs
Eneco Consumenten;0%;overig;grijs
Fenor B.V.;0%;overig;grijs
Greenchoice;0%;overig;grijs
HVC Energie;0%;overig;grijs
Huismerk Energie;0%;overig;grijs
Innova Energie;0%;overig;grijs
LEON Zeewolde;0%;overig;grijs
MAIN Energie;0%;overig;grijs
Noordhollandse Energie Cošperatie;0%;overig;grijs
Oxxio;0%;overig;grijs
Qurrent Nederland B.V.;0%;overig;grijs
Republiq Community NL B.V. hodn Vandebron;0%;overig;grijs
UnitedConsumers Energie;0%;overig;grijs
WoonEnergie;0%;overig;grijs
Gazprom Marketing &trading Retail Ltd.;28%;kolen;grijs
Robin Energie B.V.;27.3%;kolen;grijs
DELTA;27%;kolen;grijs
Anode;26.4%;kolen;grijs
Nuon;23%;kolen;grijs
SEPA Green Energy BV;23%;kolen;grijs
energiedirect.nl;22.9%;kolen;grijs
Qwint;17%;kolen;grijs
Essent;14.8%;kolen;grijs
Dong Energy;11.2%;kolen;grijs
Electrabel;10.5%;kolen;grijs
DGB Energie;5.67%;kolen;grijs
E.ON;5.1%;kolen;grijs
Eneco;4.4%;kolen;grijs
Oxxio;2.42%;kolen;grijs
Atoomstroom;0%;kolen;grijs
BudgetEnergie;0%;kolen;grijs
Cošperatieve Duurzame Energie Unie U.A. (DE Unie);0%;kolen;grijs
Cošperatieve vereniging NLD energie U.A.;0%;kolen;grijs
De Ned. Energie Maatschappij;0%;kolen;grijs
Eneco Consumenten;0%;kolen;grijs
Fenor B.V.;0%;kolen;grijs
Greenchoice;0%;kolen;grijs
HVC Energie;0%;kolen;grijs
Huismerk Energie;0%;kolen;grijs
Innova Energie;0%;kolen;grijs
LEON Zeewolde;0%;kolen;grijs
MAIN Energie;0%;kolen;grijs
Noordhollandse Energie Cošperatie;0%;kolen;grijs
Qurrent Nederland B.V.;0%;kolen;grijs
Republiq Community NL B.V. hodn Vandebron;0%;kolen;grijs
UnitedConsumers Energie;0%;kolen;grijs
WoonEnergie;0%;kolen;grijs
Atoomstroom;100%;kern;grijs
Anode;20.1%;kern;grijs
DELTA;7%;kern;grijs
Gazprom Marketing &trading Retail Ltd.;7%;kern;grijs
Robin Energie B.V.;6.4%;kern;grijs
Nuon;5%;kern;grijs
SEPA Green Energy BV;5%;kern;grijs
energiedirect.nl;4.9%;kern;grijs
Qwint;4%;kern;grijs
Dong Energy;3.3%;kern;grijs
Essent;2.5%;kern;grijs
Electrabel;2%;kern;grijs
E.ON;1.5%;kern;grijs
DGB Energie;1.26%;kern;grijs
Eneco;1.1%;kern;grijs
Oxxio;0.59%;kern;grijs
BudgetEnergie;0%;kern;grijs
Cošperatieve Duurzame Energie Unie U.A. (DE Unie);0%;kern;grijs
Cošperatieve vereniging NLD energie U.A.;0%;kern;grijs
De Ned. Energie Maatschappij;0%;kern;grijs
Eneco Consumenten;0%;kern;grijs
Fenor B.V.;0%;kern;grijs
Greenchoice;0%;kern;grijs
HVC Energie;0%;kern;grijs
Huismerk Energie;0%;kern;grijs
Innova Energie;0%;kern;grijs
LEON Zeewolde;0%;kern;grijs
MAIN Energie;0%;kern;grijs
Noordhollandse Energie Cošperatie;0%;kern;grijs
Qurrent Nederland B.V.;0%;kern;grijs
Republiq Community NL B.V. hodn Vandebron;0%;kern;grijs
UnitedConsumers Energie;0%;kern;grijs
WoonEnergie;0%;kern;grijs
UnitedConsumers Energie;0%;aardgas;grijs
WoonEnergie;0%;aardgas;grijs
Anode;47.6%;aardgas;grijs
SEPA Green Energy BV;44%;aardgas;grijs
Republiq Community NL B.V. hodn Vandebron;0%;aardgas;grijs
Qurrent Nederland B.V.;0%;aardgas;grijs
Qwint;34%;aardgas;grijs
Atoomstroom;0%;aardgas;grijs
BudgetEnergie;0%;aardgas;grijs
Noordhollandse Energie Cošperatie;0%;aardgas;grijs
Robin Energie B.V.;52.9%;aardgas;grijs
MAIN Energie;0%;aardgas;grijs
Innova Energie;0%;aardgas;grijs
DGB Energie;11.13%;aardgas;grijs
HVC Energie;0%;aardgas;grijs
Nuon;50%;aardgas;grijs
LEON Zeewolde;0%;aardgas;grijs
Cošperatieve Duurzame Energie Unie U.A. (DE Unie);0%;aardgas;grijs
Cošperatieve vereniging NLD energie U.A.;0%;aardgas;grijs
De Ned. Energie Maatschappij;0%;aardgas;grijs
Eneco;39.8%;aardgas;grijs
Oxxio;7.42%;aardgas;grijs
Electrabel;46.5%;aardgas;grijs
energiedirect.nl;44.1%;aardgas;grijs
DELTA;40%;aardgas;grijs
E.ON;14.3%;aardgas;grijs
Greenchoice;0%;aardgas;grijs
Huismerk Energie;0%;aardgas;grijs
Gazprom Marketing &trading Retail Ltd.;52%;aardgas;grijs
Fenor B.V.;0%;aardgas;grijs
Eneco Consumenten;0%;aardgas;grijs
Essent;22.3%;aardgas;grijs
Dong Energy;31.2%;aardgas;grijs
Cošperatieve vereniging NLD energie U.A.;41%;zon;groen
LEON Zeewolde;17%;zon;groen
Cošperatieve Duurzame Energie Unie U.A. (DE Unie);1.34%;zon;groen
Greenchoice;1.01%;zon;groen
Huismerk Energie;1%;zon;groen
Republiq Community NL B.V. hodn Vandebron;1%;zon;groen
HVC Energie;0.82%;zon;groen
Eneco;0.01%;zon;groen
Essent;0.0059%;zon;groen
Anode;0%;zon;groen
Atoomstroom;0%;zon;groen
BudgetEnergie;0%;zon;groen
DELTA;0%;zon;groen
DGB Energie;0%;zon;groen
De Ned. Energie Maatschappij;0%;zon;groen
Dong Energy;0%;zon;groen
E.ON;0%;zon;groen
Electrabel;0%;zon;groen
Eneco Consumenten;0%;zon;groen
Fenor B.V.;0%;zon;groen
Gazprom Marketing &trading Retail Ltd.;0%;zon;groen
Innova Energie;0%;zon;groen
MAIN Energie;0%;zon;groen
Noordhollandse Energie Cošperatie;0%;zon;groen
Nuon;0%;zon;groen
Oxxio;0%;zon;groen
Qurrent Nederland B.V.;0%;zon;groen
Qwint;0%;zon;groen
Robin Energie B.V.;0%;zon;groen
SEPA Green Energy BV;0%;zon;groen
UnitedConsumers Energie;0%;zon;groen
WoonEnergie;0%;zon;groen
energiedirect.nl;0%;zon;groen
Fenor B.V.;100%;wind;groen
Qurrent Nederland B.V.;100%;wind;groen
Huismerk Energie;99%;wind;groen
Cošperatieve Duurzame Energie Unie U.A. (DE Unie);98.66%;wind;groen
Innova Energie;85%;wind;groen
LEON Zeewolde;83%;wind;groen
Republiq Community NL B.V. hodn Vandebron;79%;wind;groen
Cošperatieve vereniging NLD energie U.A.;59%;wind;groen
Greenchoice;43%;wind;groen
E.ON;28.9%;wind;groen
Eneco Consumenten;22%;wind;groen
Essent;14.3%;wind;groen
DELTA;10%;wind;groen
UnitedConsumers Energie;10%;wind;groen
De Ned. Energie Maatschappij;8%;wind;groen
Dong Energy;7.3%;wind;groen
Eneco;7.3%;wind;groen
energiedirect.nl;6.2%;wind;groen
Nuon;5%;wind;groen
Electrabel;4%;wind;groen
HVC Energie;3.76%;wind;groen
Anode;2.8%;wind;groen
Qwint;2%;wind;groen
Atoomstroom;0%;wind;groen
BudgetEnergie;0%;wind;groen
DGB Energie;0%;wind;groen
Gazprom Marketing &trading Retail Ltd.;0%;wind;groen
MAIN Energie;0%;wind;groen
Noordhollandse Energie Cošperatie;0%;wind;groen
Oxxio;0%;wind;groen
Robin Energie B.V.;0%;wind;groen
SEPA Green Energy BV;0%;wind;groen
WoonEnergie;0%;wind;groen
BudgetEnergie;100%;water;groen
MAIN Energie;100%;water;groen
WoonEnergie;100%;water;groen
De Ned. Energie Maatschappij;92%;water;groen
Oxxio;89.24%;water;groen
Eneco Consumenten;78%;water;groen
UnitedConsumers Energie;70%;water;groen
Dong Energy;45.1%;water;groen
Eneco;41.8%;water;groen
Qwint;34%;water;groen
E.ON;33.8%;water;groen
Electrabel;27.9%;water;groen
Essent;21.7%;water;groen
energiedirect.nl;19.6%;water;groen
Greenchoice;15%;water;groen
Innova Energie;15%;water;groen
DELTA;4%;water;groen
Nuon;3%;water;groen
Anode;0%;water;groen
Atoomstroom;0%;water;groen
Cošperatieve Duurzame Energie Unie U.A. (DE Unie);0%;water;groen
Cošperatieve vereniging NLD energie U.A.;0%;water;groen
DGB Energie;0%;water;groen
Fenor B.V.;0%;water;groen
Gazprom Marketing &trading Retail Ltd.;0%;water;groen
HVC Energie;0%;water;groen
Huismerk Energie;0%;water;groen
LEON Zeewolde;0%;water;groen
Noordhollandse Energie Cošperatie;0%;water;groen
Qurrent Nederland B.V.;0%;water;groen
Republiq Community NL B.V. hodn Vandebron;0%;water;groen
Robin Energie B.V.;0%;water;groen
SEPA Green Energy BV;0%;water;groen
Eneco;4.8%;overig;groen
Anode;0%;overig;groen
Atoomstroom;0%;overig;groen
BudgetEnergie;0%;overig;groen
Cošperatieve Duurzame Energie Unie U.A. (DE Unie);0%;overig;groen
Cošperatieve vereniging NLD energie U.A.;0%;overig;groen
DELTA;0%;overig;groen
DGB Energie;0%;overig;groen
De Ned. Energie Maatschappij;0%;overig;groen
Dong Energy;0%;overig;groen
E.ON;0%;overig;groen
Electrabel;0%;overig;groen
Eneco Consumenten;0%;overig;groen
Essent;0%;overig;groen
Fenor B.V.;0%;overig;groen
Gazprom Marketing &trading Retail Ltd.;0%;overig;groen
Greenchoice;0%;overig;groen
HVC Energie;0%;overig;groen
Huismerk Energie;0%;overig;groen
Innova Energie;0%;overig;groen
LEON Zeewolde;0%;overig;groen
MAIN Energie;0%;overig;groen
Noordhollandse Energie Cošperatie;0%;overig;groen
Nuon;0%;overig;groen
Oxxio;0%;overig;groen
Qurrent Nederland B.V.;0%;overig;groen
Qwint;0%;overig;groen
Republiq Community NL B.V. hodn Vandebron;0%;overig;groen
Robin Energie B.V.;0%;overig;groen
SEPA Green Energy BV;0%;overig;groen
UnitedConsumers Energie;0%;overig;groen
WoonEnergie;0%;overig;groen
energiedirect.nl;0%;overig;groen
Noordhollandse Energie Cošperatie;100%;biomassa;groen
HVC Energie;95.42%;biomassa;groen
DGB Energie;79%;biomassa;groen
Greenchoice;40.9%;biomassa;groen
SEPA Green Energy BV;25%;biomassa;groen
Essent;23.2%;biomassa;groen
Republiq Community NL B.V. hodn Vandebron;20%;biomassa;groen
UnitedConsumers Energie;20%;biomassa;groen
E.ON;15.5%;biomassa;groen
Electrabel;8%;biomassa;groen
DELTA;6%;biomassa;groen
Eneco;0.3%;biomassa;groen
Anode;0.1%;biomassa;groen
Atoomstroom;0%;biomassa;groen
BudgetEnergie;0%;biomassa;groen
Cošperatieve Duurzame Energie Unie U.A. (DE Unie);0%;biomassa;groen
Cošperatieve vereniging NLD energie U.A.;0%;biomassa;groen
De Ned. Energie Maatschappij;0%;biomassa;groen
Dong Energy;0%;biomassa;groen
Eneco Consumenten;0%;biomassa;groen
Fenor B.V.;0%;biomassa;groen
Gazprom Marketing &trading Retail Ltd.;0%;biomassa;groen
Huismerk Energie;0%;biomassa;groen
Innova Energie;0%;biomassa;groen
LEON Zeewolde;0%;biomassa;groen
MAIN Energie;0%;biomassa;groen
Nuon;0%;biomassa;groen
Oxxio;0%;biomassa;groen
Qurrent Nederland B.V.;0%;biomassa;groen
Qwint;0%;biomassa;groen
Robin Energie B.V.;0%;biomassa;groen
WoonEnergie;0%;biomassa;groen
energiedirect.nl;0%;biomassa;groen
